,f1,acc,prec,kappa,recall
trondheim,0.365553603,0.738973247,0.23853211,0.255887539,0.781954887
arched,0.447937132,0.79681851,0.303191489,0.356510926,0.857142857
ruralscene,0.436432638,0.785249458,0.291878173,0.341784221,0.864661654
hanger,0.345549738,0.728850325,0.225,0.232143307,0.744360902
f8,0.357859532,0.722342733,0.230107527,0.244932778,0.804511278
marincounty,0.37883959,0.736804049,0.245033113,0.270353944,0.834586466
lands,0.349417637,0.717281273,0.224358974,0.23481417,0.789473684
lightrail,0.442687747,0.796095445,0.300268097,0.350617736,0.842105263
angular,0.346349745,0.721619667,0.223684211,0.231989165,0.766917293
sunflowers,0.377896613,0.747650036,0.247663551,0.270912291,0.796992481
1260mm,0.368965517,0.735357918,0.239373602,0.259148349,0.804511278
whites,0.306748466,0.673174259,0.192678227,0.181423195,0.751879699
largeformat,0.330632091,0.701373825,0.210743802,0.211696089,0.766917293
luzern,0.360876897,0.725958062,0.232608696,0.248799371,0.804511278
nemo,0.349745331,0.723065799,0.225877193,0.235978831,0.77443609
ralph,0.388278388,0.758496023,0.256658596,0.284130428,0.796992481
vermelho,0.434951456,0.789587852,0.293193717,0.340924909,0.842105263
mark2,0.36,0.722342733,0.231263383,0.247323471,0.812030075
cowboys,0.371024735,0.742588576,0.242494226,0.262510485,0.789473684
piedras,0.437984496,0.790310918,0.295039164,0.344389048,0.84962406
newyears,0.362126246,0.722342733,0.232409382,0.249699073,0.819548872
superhearts,0.393835616,0.744034707,0.254988914,0.28809404,0.864661654
signals,0.401473297,0.765003615,0.265853659,0.299783926,0.819548872
climber,0.40569395,0.758496023,0.265734266,0.303423753,0.857142857
diary,0.355555556,0.727404194,0.230088496,0.2430697,0.781954887
potofgold,0.408679928,0.763557484,0.269047619,0.307524817,0.84962406
guardian,0.402985075,0.768618944,0.267990074,0.302054913,0.812030075
trump,0.408921933,0.770065076,0.271604938,0.308852094,0.827067669
fineartphotography,0.333868379,0.699927693,0.212244898,0.215138342,0.781954887
donau,0.413407821,0.772234273,0.274752475,0.314168452,0.834586466
migration,0.409594096,0.768618944,0.271393643,0.309354674,0.834586466
cigar,0.355172414,0.729573391,0.230425056,0.242954871,0.77443609
atlantique,0.436734694,0.800433839,0.299719888,0.344941206,0.804511278
nordsee,0.415384615,0.780187997,0.279069767,0.317721975,0.812030075
viola,0.401486989,0.767172813,0.266666667,0.30015841,0.812030075
pintura,0.464646465,0.808387563,0.317679558,0.377019614,0.864661654
cubism,0.371584699,0.750542299,0.245192308,0.264374178,0.766917293
columbiariver,0.389380531,0.750542299,0.25462963,0.28410027,0.827067669
digitalsinglelensreflex,0.368770764,0.725234996,0.236673774,0.257514707,0.834586466
cagliari,0.415300546,0.767895879,0.274038462,0.315548148,0.857142857
channelislands,0.377896613,0.747650036,0.247663551,0.270912291,0.796992481
steine,0.413919414,0.768618944,0.273607748,0.314136937,0.84962406
staten,0.401486989,0.767172813,0.266009852,0.300758397,0.818181818
hebrides,0.402903811,0.762111352,0.264916468,0.301511935,0.840909091
bo,0.342857143,0.717281273,0.220302376,0.228215679,0.772727273
teesside,0.380782918,0.748373102,0.248837209,0.274875476,0.810606061
colline,0.402234637,0.767895879,0.266666667,0.301703025,0.818181818
shirtless,0.369747899,0.728850325,0.237580994,0.259797646,0.833333333
boiler,0.347349177,0.74186551,0.228915663,0.236822214,0.71969697
nightview,0.42209073,0.788141721,0.285333333,0.32708106,0.810606061
eddie,0.348837209,0.716558207,0.223404255,0.234796453,0.795454545
wrought,0.399239544,0.771511208,0.266497462,0.299007767,0.795454545
brampton,0.338815789,0.709327549,0.216386555,0.222642617,0.78030303
55mm,0.372173913,0.738973247,0.241534989,0.26392028,0.810606061
wizard,0.338983051,0.718004338,0.218340611,0.223992818,0.757575758
stthomas,0.361111111,0.733911786,0.234234234,0.250883143,0.787878788
efex,0.407079646,0.757772957,0.265588915,0.30547623,0.871212121
grafiti,0.383802817,0.74692697,0.25,0.278011455,0.825757576
austrian,0.379373849,0.756326826,0.250608273,0.274558147,0.78030303
vessels,0.404761905,0.78308026,0.274193548,0.307141998,0.772727273
barbican,0.451097804,0.801156905,0.306233062,0.361299619,0.856060606
britannia,0.368794326,0.742588576,0.240740741,0.260698777,0.787878788
palmsprings,0.356073211,0.720173536,0.228144989,0.24336165,0.810606061
