,f1,acc,prec,kappa,recall
li,0.528846154,0.858279103,0.372881356,0.462100496,0.909090909
oldwest,0.446351931,0.813449024,0.301449275,0.363954309,0.859504132
decorating,0.439330544,0.806218366,0.294117647,0.355042806,0.867768595
watercolour,0.546835443,0.870571222,0.394160584,0.484231536,0.892561983
carrera,0.434782609,0.812002892,0.294985251,0.351104951,0.826446281
hotrod,0.420618557,0.79681851,0.28021978,0.333027269,0.842975207
overhang,0.416309013,0.803326103,0.28115942,0.329440202,0.801652893
jaipur,0.451476793,0.812002892,0.303116147,0.369286251,0.884297521
lying,0.470588235,0.830802603,0.323987539,0.39351654,0.859504132
beau,0.513994911,0.861894432,0.371323529,0.447025822,0.834710744
sonomacounty,0.531707317,0.861171367,0.37716263,0.465821216,0.900826446
amore,0.582210243,0.887924801,0.432,0.526362538,0.892561983
tourismus,0.471910112,0.830079537,0.324074074,0.394806965,0.867768595
pirineos,0.550868486,0.86912509,0.393617021,0.48820192,0.917355372
tristan,0.474178404,0.838033261,0.331147541,0.398868338,0.834710744
edwards,0.477223427,0.825741142,0.323529412,0.399760122,0.909090909
inspired,0.469525959,0.830079537,0.322981366,0.392224331,0.859504132
walkabout,0.482435597,0.840202458,0.336601307,0.408229411,0.851239669
geschichte,0.558024691,0.870571222,0.397887324,0.496207673,0.933884298
usnavy,0.503401361,0.84164859,0.346875,0.431177378,0.917355372
patrimoniodelahumanidad,0.603674541,0.890817064,0.442307692,0.549931789,0.950413223
bici,0.555555556,0.878524946,0.408560311,0.495540406,0.867768595
melancholy,0.556097561,0.868402025,0.394463668,0.493643028,0.94214876
kingscounty,0.420618557,0.79681851,0.28021978,0.333027269,0.842975207
nite,0.54040404,0.868402025,0.389090909,0.476831048,0.884297521
wasp,0.453333333,0.822125813,0.310030395,0.373138123,0.842975207
capri,0.463700234,0.834417932,0.323529412,0.386807851,0.818181818
precious,0.510638298,0.85032538,0.357615894,0.440775504,0.892561983
freshness,0.416502947,0.785249458,0.273195876,0.326693998,0.876033058
reach,0.451754386,0.81923355,0.307462687,0.37088093,0.851239669
fortwilliam,0.47311828,0.822848879,0.319767442,0.394772143,0.909090909
thoughts,0.482758621,0.837310195,0.334394904,0.407981477,0.867768595
14th,0.550505051,0.871294288,0.396363636,0.488329266,0.900826446
urbanphotography,0.461187215,0.829356471,0.318611987,0.383056102,0.834710744
wallonie,0.556354916,0.866232827,0.391891892,0.49343568,0.958677686
juneau,0.444444444,0.804772234,0.295890411,0.360389032,0.892561983
report,0.407407407,0.79175705,0.271232877,0.317748301,0.818181818
dummy,0.4360587,0.8054953,0.292134831,0.351348383,0.859504132
peoria,0.476851852,0.836587129,0.331189711,0.401452334,0.851239669
geocache,0.505966587,0.85032538,0.355704698,0.435744963,0.876033058
carmen,0.516129032,0.859002169,0.368794326,0.448615328,0.859504132
sealife,0.508235294,0.848879248,0.355263158,0.437878131,0.892561983
birdhouse,0.488151659,0.843817787,0.342192691,0.415157875,0.851239669
phare,0.628415301,0.901663051,0.469387755,0.57911602,0.950413223
luxe,0.54950495,0.868402025,0.392226148,0.486572048,0.917355372
warrington,0.479262673,0.836587129,0.331210191,0.404494896,0.866666667
brouillard,0.503597122,0.85032538,0.353535354,0.433590342,0.875
hr,0.507246377,0.852494577,0.357142857,0.437986303,0.875
dolphins,0.569190601,0.880694143,0.414448669,0.510908354,0.908333333
16th,0.489208633,0.845986985,0.343434343,0.41717267,0.85
froid,0.497674419,0.843817787,0.34516129,0.42584328,0.891666667
tempel,0.517647059,0.851771511,0.360655738,0.449030754,0.916666667
reyes,0.507246377,0.852494577,0.357142857,0.437986303,0.875
bradley,0.465011287,0.828633406,0.318885449,0.387514505,0.858333333
