,f1,acc,prec,kappa,recall
id,0.411188811,0.695589299,0.278937381,0.2636295,0.781914894
millenium,0.494453249,0.76934201,0.35214447,0.375196323,0.829787234
projection,0.478527607,0.754157628,0.336206897,0.353429073,0.829787234
pick,0.440828402,0.726681128,0.305327869,0.30428522,0.792553191
metroarea,0.473919523,0.744757773,0.329192547,0.345915312,0.845744681
hannover,0.5,0.778741866,0.360849057,0.383966159,0.813829787
marriott,0.496025437,0.770788142,0.353741497,0.377337588,0.829787234
a1,0.443438914,0.73318872,0.309473684,0.308808133,0.781914894
fleuve,0.492113565,0.767172813,0.349775785,0.372007231,0.829787234
conservatory,0.507364975,0.782357195,0.36643026,0.393142507,0.824468085
period,0.440729483,0.733911786,0.308510638,0.305948228,0.771276596
avian,0.532679739,0.793203181,0.384433962,0.424229808,0.867021277
capitolhill,0.492890995,0.767895879,0.350561798,0.373067239,0.829787234
baden,0.45112782,0.736080983,0.314465409,0.318160636,0.79787234
broad,0.458333333,0.736804049,0.318181818,0.326441814,0.819148936
expressway,0.535836177,0.803326103,0.394472362,0.430717777,0.835106383
cumulus,0.448736999,0.731742589,0.311340206,0.314412499,0.803191489
palais,0.551369863,0.810556761,0.406565657,0.449970855,0.856382979
roc,0.419019316,0.717281273,0.290721649,0.277453604,0.75
4thofjuly,0.473767886,0.760665221,0.337868481,0.349838302,0.792553191
bouquet,0.504702194,0.771511208,0.357777778,0.387189864,0.856382979
surprise,0.418938307,0.707158351,0.286836935,0.27499492,0.776595745
other,0.436781609,0.716558207,0.299212598,0.297350822,0.808510638
graf,0.493273543,0.754880694,0.343035343,0.370156817,0.877659574
hiding,0.481707317,0.754157628,0.337606838,0.356990482,0.840425532
peterborough,0.488038278,0.767895879,0.348519362,0.367671922,0.813829787
a350,0.458715596,0.744034707,0.321888412,0.328664712,0.79787234
sensual,0.479365079,0.762834418,0.341628959,0.356651132,0.803191489
giraffe,0.466463415,0.74692697,0.326923077,0.338078438,0.813829787
match,0.515151515,0.79175705,0.376847291,0.40449072,0.813829787
overview,0.460856721,0.736080983,0.319018405,0.329110997,0.829787234
abroad,0.476923077,0.754157628,0.334773218,0.352124863,0.828877005
communism,0.506535948,0.781634129,0.364705882,0.392438097,0.828877005
1980,0.453055142,0.734634852,0.314049587,0.320513215,0.812834225
caravan,0.478787879,0.751265365,0.334038055,0.35349066,0.844919786
lazy,0.496875,0.767172813,0.350993377,0.377773866,0.85026738
16mm,0.447407407,0.730296457,0.30942623,0.313115752,0.807486631
shelves,0.503289474,0.781634129,0.363420428,0.388850031,0.818181818
mallard,0.53100159,0.786695589,0.377828054,0.420968523,0.893048128
asylum,0.460843373,0.741142444,0.320754717,0.330849261,0.818181818
pork,0.549488055,0.809110629,0.403508772,0.447814014,0.860962567
ipswich,0.470409712,0.747650036,0.328389831,0.343193141,0.828877005
note,0.475609756,0.751265365,0.332622601,0.349925257,0.834224599
sara,0.494522692,0.766449747,0.349557522,0.374960297,0.844919786
globetrotter,0.489296636,0.758496023,0.34261242,0.367077542,0.855614973
monsoon,0.449404762,0.732465654,0.311340206,0.315882918,0.807486631
language,0.430044183,0.720173536,0.296747967,0.291144018,0.780748663
performing,0.502529511,0.786695589,0.366995074,0.389495342,0.796791444
devils,0.471810089,0.742588576,0.326488706,0.343539501,0.85026738
speaker,0.478195489,0.749096168,0.332635983,0.352293018,0.85026738
tibet,0.48503937,0.763557484,0.34375,0.36362613,0.823529412
losangelescounty,0.467817896,0.754880694,0.331111111,0.342141044,0.796791444
utility,0.443502825,0.715112075,0.30134357,0.30524665,0.839572193
harrison,0.450920245,0.741142444,0.316129032,0.319717067,0.786096257
wtc,0.470404984,0.754157628,0.331868132,0.344838348,0.807486631
protected,0.445086705,0.722342733,0.304950495,0.308649433,0.823529412
locations,0.427098675,0.718727404,0.294715447,0.28748068,0.77540107
outline,0.461538462,0.736804049,0.319018405,0.330588733,0.834224599
faro,0.52991453,0.801156905,0.389447236,0.423927186,0.828877005
instruments,0.474522293,0.761388286,0.337868481,0.35134098,0.796791444
patriotic,0.499184339,0.7780188,0.35915493,0.383284311,0.818181818
baja,0.443181818,0.716558207,0.301740812,0.305197918,0.834224599
outfit,0.451428571,0.722342733,0.307992203,0.315838699,0.844919786
moda,0.5056,0.776572668,0.360730594,0.389994904,0.844919786
thecity,0.489795918,0.765003615,0.346666667,0.369309261,0.834224599
find,0.453333333,0.73318872,0.31352459,0.320481803,0.818181818
adriatic,0.533557047,0.798987708,0.388753056,0.427271183,0.85026738
tub,0.434654919,0.721619667,0.299595142,0.296687083,0.79144385
emblem,0.511848341,0.776572668,0.3632287,0.396943419,0.86631016
