Orig,ndcg,Bow,ndcg,Vector,ndcg
wondering,0.702536405,wondering,0.69346808,wondering,0.702449119
won,0.772958907,won,0.692060917,won,0.77305925
creative,0.727344642,creative,0.692866504,creative,0.728058799
paid,0.68694748,paid,0.662987122,paid,0.687543396
turning,0.667608659,turning,0.664733662,turning,0.668086122
super,0.654136717,super,0.632320278,super,0.655104695
theaters,0.723971633,theaters,0.703943432,theaters,0.723787993
negative,0.688317547,negative,0.66481962,negative,0.688492247
badly,0.683885385,badly,0.672894112,badly,0.683645682
growing,0.728743109,growing,0.691836936,growing,0.729728166
water,0.716157412,water,0.574704767,water,0.716705512
yeah,0.709086408,yeah,0.705448837,yeah,0.709136707
heads,0.650225688,heads,0.654161771,heads,0.651490072
asked,0.691637557,asked,0.687603282,asked,0.691735743
months,0.678028942,months,0.66160955,months,0.679654764
road,0.68671411,road,0.574382629,road,0.68767673
transfer,0.778316449,transfer,0.678112655,transfer,0.777033714
issue,0.702732649,issue,0.659084306,issue,0.704204505
aware,0.695649284,aware,0.693334457,aware,0.69591111
door,0.661605853,door,0.625250283,door,0.661674707
search,0.688678874,search,0.676677476,search,0.691064371
honestly,0.721497241,honestly,0.697586107,honestly,0.72156401
efforts,0.683330249,efforts,0.686518247,efforts,0.684249322
carry,0.660837391,carry,0.559551414,carry,0.70628868
