,ndcg
at,0.499216098
francais,0.499154995
solid,0.499093571
sonyalpha700,0.499013273
dana,0.498847377
couleur,0.498833981
battle,0.498762692
5photosaday,0.498725209
braun,0.49867549
borders,0.498672551
coronado,0.498542625
tugboat,0.498540223
butter,0.498516391
twincities,0.498491738
bellingham,0.498486457
110,0.498385249
victory,0.498338472
henry,0.498298169
cook,0.498212362
cristal,0.49814923
law,0.49809365
noel,0.498072907
lawenforcement,0.498048924
cats,0.498008172
1998,0.497952049
stitch,0.497790501
glen,0.497736445
act,0.497613968
colin,0.497574539
icicles,0.497568736
asie,0.497521063
madera,0.497468786
101,0.497465225
poladroid,0.49742451
bomen,0.497280314
aplusphoto,0.497189723
weg,0.497162919
cote,0.497141138
patrimonio,0.497127073
heiconeumeyer,0.497122675
farmersmarket,0.497099364
sx10is,0.497002563
holly,0.496968109
upstatenewyork,0.496942618
warriors,0.496906562
bedandbreakfast,0.49683536
cambridge,0.496759057
casey,0.496608834
1000d,0.496590328
sunlit,0.496517221
cupcake,0.496497148
negro,0.496496289
legs,0.496424399
vic,0.496383896
leaning,0.496351749
bracelet,0.49634586
busstop,0.496327616
sustainability,0.496320802
ciudaddemexico,0.496315479
1999,0.496277802
jc,0.496230696
ringexcellence,0.496186442
suite,0.496186375
blond,0.496147552
part,0.49613924
1024mm,0.496115986
strasse,0.496110162
avion,0.496085736
canonef1740mmf4lusm,0.496031521
tomato,0.496029145
basalt,0.496021119
spot,0.495880268
1750mm,0.49587021
mining,0.495789651
causeway,0.495768707
rightsmanaged,0.495766165
pen,0.495676788
nz,0.495666698
breathtaking,0.495654883
1st,0.49558877
forces,0.495581016
backstein,0.495559274
impressedbeauty,0.495462415
ultimateshot,0.49545298
ultrawide,0.49545298
s9600,0.495346792
18th,0.49533933
campground,0.495327459
ethiopia,0.495318615
grate,0.495308864
finance,0.495235414
crossing,0.495191578
damniwishidtakenthat,0.495155862
rose,0.495099316
newfoundland,0.49509251
alentejo,0.495053879
juxtaposition,0.495042426
nuclear,0.495036793
deathvalley,0.495029702
performance,0.494996748
attitude,0.494918848
graffitti,0.494897596
collapsed,0.494841737
blau,0.494683701
distortion,0.494664546
truth,0.494625779
newhaven,0.494598977
mygearandmegold,0.494584429
1969,0.494528039
samuel,0.494510155
stark,0.494491618
meditation,0.494328713
cemetery,0.494271105
2004,0.494244278
sfist,0.494238549
anawesomeshot,0.494230727
feb,0.494197056
f18,0.494171079
banda,0.494144914
greens,0.494140373
linux,0.494125469
availablelight,0.494088209
utatafeature,0.494033334
tights,0.494000433
granville,0.49394034
janela,0.493912487
sears,0.493892062
lampost,0.493887571
cleaning,0.493885458
chateau,0.493829782
lover,0.493809225
expired,0.493783828
aventura,0.493743275
president,0.493742341
today,0.493716817
5dmark2,0.493716787
nottinghamshire,0.493679772
amtrak,0.493663798
heroes,0.493604206
1870mmf3545g,0.493571609
bat,0.493558541
1930,0.49350649
aid,0.493501571
underconstruction,0.493410676
res,0.493290374
pole,0.493255124
beijing,0.493237118
canonae1,0.493225451
theperfectphotographer,0.493223547
drawing,0.493161753
20,0.493109697
electricity,0.49305462
whitehouse,0.493021821
paso,0.493018051
12,0.49296689
branding,0.492868874
hotrod,0.49258246
daily,0.492576663
38,0.492575301
taylor,0.49248841
99,0.492488106
tobacco,0.492484447
fern,0.492353476
photofaceoffwinner,0.492306694
oceanside,0.492263664
nightime,0.492201674
cookies,0.49216656
20th,0.492154317
spy,0.492147155
nordic,0.492022138
breakfast,0.49201971
spooky,0.491914673
stall,0.491886009
knight,0.491807538
hammer,0.491801455
unescoworldheritage,0.491797892
laborday,0.491762136
cane,0.491704205
iranian,0.491678915
operahouse,0.491611977
enfield,0.491601845
atmospheric,0.491575233
bread,0.491544411
cityhall,0.491391178
welcomeuk,0.491386829
inland,0.491341003
