,acc,f1,kappa,prec,recall
transforms,0.775718987,0.356923077,0.265080136,0.232931727,0.763157895
aptly,0.759979969,0.332338308,0.235990072,0.214929215,0.73245614
aura,0.773286593,0.346463188,0.253300915,0.226476139,0.736842105
joan,0.795249678,0.379982669,0.293161877,0.252301496,0.769298246
bless,0.769351839,0.33798768,0.243540088,0.220584294,0.722563652
andy,0.725568751,0.294334069,0.189985256,0.186176402,0.7023705
clad,0.786950923,0.372259696,0.283530399,0.244937587,0.77524144
batman,0.814351123,0.40712817,0.325851787,0.275169858,0.782265145
irish,0.80905709,0.397380899,0.31438009,0.267477204,0.77260755
stinker,0.780941479,0.364202658,0.273849704,0.238509655,0.769973661
females,0.802761482,0.393666154,0.309355197,0.262540334,0.786467487
stewart,0.746530262,0.321654222,0.222731821,0.205580029,0.73878628
sarah,0.751108885,0.323020043,0.224810996,0.207396302,0.729991205
judged,0.766418658,0.340270762,0.245757721,0.220881427,0.740545295
prejudice,0.818500501,0.418785796,0.339298027,0.28314746,0.803869833
roberts,0.734582916,0.306801196,0.205010205,0.194734345,0.722711268
kindly,0.75790528,0.334120425,0.237942994,0.215154587,0.747359155
uncut,0.810917156,0.405933918,0.32412756,0.272562632,0.794894366
influences,0.77664902,0.359195402,0.268015644,0.234145036,0.77092511
wash,0.753970525,0.317252333,0.218998887,0.204766786,0.703964758
upgrade,0.831234798,0.440332147,0.365022528,0.301200909,0.818342152
ken,0.726570325,0.290382473,0.186131763,0.183913452,0.689594356
