,acc,f1,kappa,prec,recalls
fantastical,0.758191444,0.20433145,0.137041348,0.120354964,0.676012461
accomplishments,0.721419373,0.175698561,0.104628557,0.10166585,0.646417445
diane,0.603662899,0.13545568,0.057557564,0.075268817,0.676012461
unstoppable,0.72907426,0.181896738,0.111708127,0.1055667,0.656786271
porno,0.594219488,0.132986854,0.054790571,0.073716319,0.678627145
employment,0.594505652,0.137028015,0.059159718,0.075923739,0.702028081
ditto,0.658892545,0.142446043,0.066717777,0.080504168,0.617784711
committee,0.675704679,0.15318513,0.078815122,0.087011885,0.639625585
betray,0.688367435,0.166475316,0.093535671,0.094874591,0.678627145
adaption,0.707969667,0.176351897,0.104873124,0.101274623,0.68174727
arrangement,0.639433395,0.140225179,0.063745744,0.078720552,0.641185647
lump,0.660394906,0.153983247,0.079177488,0.086921529,0.673946958
exuberant,0.646587495,0.156132559,0.081081845,0.087665452,0.712948518
heated,0.621118901,0.138861789,0.061781248,0.07750953,0.666146646
amaze,0.712619831,0.163995838,0.091812702,0.094620557,0.614664587
reprise,0.693232222,0.173477255,0.10123087,0.098966351,0.702028081
investigator,0.761482329,0.225011623,0.159403126,0.132204316,0.755070203
shrill,0.615324081,0.133999034,0.056506589,0.074699228,0.65
seattle,0.632780083,0.141782311,0.065352735,0.079385883,0.6625
shirley,0.603305194,0.13183028,0.053872614,0.073255612,0.6578125
transaction,0.679782515,0.153875236,0.079805305,0.087526882,0.6359375
typecast,0.642151953,0.148160763,0.072482959,0.083142202,0.6796875
glenn,0.63041923,0.131180626,0.053866336,0.073501696,0.609375
terrifically,0.656889398,0.139267767,0.063347945,0.078669911,0.60625
humorless,0.681213335,0.156380159,0.082546252,0.088970271,0.6453125
dared,0.6743454,0.151695863,0.07727769,0.08611934,0.6359375
contrasted,0.673057662,0.150873281,0.076350326,0.085617883,0.634375
dazzle,0.730862784,0.186066638,0.116353469,0.107985937,0.671875
residence,0.648948347,0.142582562,0.066673258,0.080267559,0.6375
sheen,0.653240807,0.130894746,0.054340162,0.073916565,0.571205008
axe,0.70968665,0.168101681,0.096300519,0.096720925,0.641627543
verbally,0.611317785,0.139394899,0.062342998,0.077546704,0.6885759
surfaces,0.665188153,0.156452776,0.082204138,0.088409045,0.679186228
scarcely,0.649592216,0.144304682,0.068658672,0.081219272,0.646322379
realy,0.697596223,0.156455797,0.083439127,0.089640979,0.614420063
masterwork,0.676420089,0.158824623,0.085226658,0.090103397,0.669278997
gunfire,0.766418658,0.22794987,0.163076069,0.13422445,0.755485893
scathing,0.622192016,0.1386397,0.061916748,0.0773712,0.666144201
tailor,0.638717985,0.13170564,0.054894622,0.073966783,0.60031348
progressively,0.668836743,0.149862259,0.075344118,0.084876222,0.639498433
prolonged,0.678065532,0.154770849,0.080925972,0.087921468,0.645768025
passenger,0.69237373,0.152542373,0.079042553,0.087240757,0.606583072
nonexistent,0.644369724,0.131095962,0.05440216,0.07377533,0.587774295
cary,0.695306911,0.16897561,0.096788926,0.096501003,0.678683386
evolving,0.660466447,0.150071633,0.075304059,0.084714921,0.656739812
fictitious,0.687008156,0.152296067,0.078581135,0.086889233,0.615987461
fishing,0.61890113,0.123127572,0.04511399,0.068787935,0.586206897
untimely,0.680497925,0.15095057,0.076905528,0.085893553,0.622257053
envisioned,0.703677207,0.162216828,0.089854591,0.093125871,0.628526646
rewrite,0.677564745,0.148819641,0.07451512,0.084603822,0.617554859
louder,0.702532551,0.162706404,0.090439969,0.093324093,0.63422292
